,Demand
A1,68.8
A2,64
A3,73.8
A4,59.6
A5,108
A6,69.6
A7,69.6
A8,34.8
A9,83.2
A10,59.8
A11,93.8
A12,49.4
A13,19.8
A14,59
A15,74.6
A16,69.2
A17,39.4
A18,44.6
A19,49.6
A20,64
A21,74.4
A22,59.2
A23,123
A24,77
A25,86
A27,93.8
A58,136
I1,49.4
I2,34.8
I3,49.2
I4,44.6
I5,34.8
I6,59.2
I7,78.4
I8,74.2
I9,39.6
I10,39.6
I11,49.6
I12,49.6
I13,64.4
I15,104
I16,79.4
I17,129
I18,129
I19,103.8
I20,59.4
I21,59.2
I22,54.8
I23,69
I24,59.4
I25,49.4
I26,94.2
I27,49.8
I30,76
I31,84.4
I32,89.4
I33,39.8
I34,59.6
I35,56.2
I36,88
I37,44.8
I38,108.6
I39,69.2
I40,64.2
I41,89.2
I42,49.2
I43,98
I44,49.6
I45,59.6
I46,59.8
I47,49.4
I48,44.6
I49,54.2
I50,44.6
I51,44.6
I52,69.6
I53,44.6
I54,44.6
I55,44.6
I56,44.6
I57,44.6
I58,49.2
I59,59.6
I60,59.2
I61,103.4
I62,49.2
I82,73.8
